id,thai_name,english_name,scientific_name,class,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
58,นากเล็กเล็บสั้น,Asian Small-clawed Otter,Aonyx cinereus,Mammalia,Carnivora,Mustelidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, ซาฟารีเวิลด์",นากขนาดเล็กที่สุด เล็บสั้น คล่องแคล่ว น่ารักและนิยมนำมาแสดงโชว์
59,นางอาย / ลิงลมเหนือ,Bengal Slow Loris,Nycticebus bengalensis,Mammalia,Primates,Lorisidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",สัตว์ป่าคุ้มครอง ตาโตกลมโต เคลื่อนไหวช้า มีต่อมพิษที่ข้อศอก
60,นิลกาย,Nilgai,Boselaphus tragocamelus,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",แอนทีโลปขนาดใหญ่ที่สุดในเอเชีย ตัวผู้มีสีเทาอมน้ำเงิน
61,เนื้อทราย,Hog Deer,Axis porcinus,Mammalia,Artiodactyla,Cervidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น, สวนสัตว์สงขลา",อดีตสัตว์ป่าสงวนที่เพาะขยายพันธุ์สำเร็จจนประชากรฟื้นตัวดีเยี่ยม
62,แบล็กบัค / แอนทีโลปดำ,Blackbuck,Antilope cervicapra,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",แอนทีโลปอินเดีย ตัวผู้สีดำขาว เขายาวบิดเป็นเกลียวสวยงาม
63,ปลากระเบนนกจุดขาว,Spotted Eagle Ray,Aetobatus narinari,Chondrichthyes,Myliobatiformes,Aetobatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ปากคล้ายจะงอยปากนก ด้านหลังสีดำลายจุดขาว ว่ายร่อนสง่างามในอุโมงค์น้ำลึก
64,ปลากระเบนราหูน้ำจืด / ปลากระเบนเจ้าพระยา,Giant Freshwater Stingray,Urogymnus polylepis,Chondrichthyes,Myliobatiformes,Dasyatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำสมุทรปราการ, แม่น้ำแม่กลอง",ปลากระดูกอ่อนน้ำจืดขนาดใหญ่ที่สุดในโลก ตัวกว้างได้กว่า 2 เมตร โคนหางมีเงี่ยงพิษร้ายแรง
65,ปลากระโห้,Giant Barb,Catlocarpio siamensis,Actinopterygii,Cypriniformes,Cyprinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, สวนสัตว์นครราชสีมา, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ปลาน้ำจืดมีเกล็ดขนาดใหญ่ที่สุดในโลก เกล็ดสีดำเงา หัวโต ปากกว้าง
66,ปลาการ์ตูนส้มขาว / นีโม,Ocellaris Clownfish,Amphiprion ocellaris,Actinopterygii,Perciformes,Pomacentridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",ขวัญใจเด็กๆ อาศัยอยู่ร่วมกับดอกไม้ทะเลแบบพึ่งพาอาศัย มีเมือกป้องกันเข็มพิษ
67,ปลาฉลามครีบดำ,Blacktip Reef Shark,Carcharhinus melanopterus,Chondrichthyes,Carcharhiniformes,Carcharhinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา, โอเอซิส ซีเวิลด์",ปลายครีบหลังและครีบหางมีแต้มสีดำชัดเจน ว่ายลาดตระเวนตามแนวปะการัง
68,ปลาฉลามเสือดาว,Zebra Shark (Leopard Shark),Stegostoma tigrinum,Chondrichthyes,Orectolobiformes,Stegostomatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ลายจุดคล้ายเสือดาว ครีบหางยาวเท่าลำตัว นิสัยไม่ดุร้ายนอนพักตามพื้นทราย
69,ปลาช่อนอเมซอน / อะราไพม่า,Arapaima,Arapaima gigas,Actinopterygii,Osteoglossiformes,Arapaimidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),DD / CITES II,"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ยักษ์ใหญ่แห่งแม่น้ำแอมะซอน ลำตัวยาวได้ถึง 3 เมตร เกล็ดหนาและแข็งแกร่งคล้ายชุดเกราะ
70,ปลาบลูแทงก์ / ดอรี่,Blue Tang (Palette Surgeonfish),Paracanthurus hepatus,Actinopterygii,Perciformes,Acanthuridae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า / ทะเลอินโด-แปซิฟิก,LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ลำตัวสีน้ำเงินสด ปลายหางสีเหลือง โคนหางมีเงี่ยงแหลมคมคล้ายมีดหมอ
71,ปลาบึก,Mekong Giant Catfish,Pangasianodon gigas,Actinopterygii,Siluriformes,Pangasiidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน, พิพิธภัณฑ์สัตว์น้ำหนองคาย",ปลาน้ำจืดไม่มีเกล็ดขนาดใหญ่ที่สุดในโลก อาศัยในลุ่มน้ำโขง หนักได้ถึง 300 กก.
72,ปลาปักเป้ากล่องเหลืองลายจุด,Yellow Boxfish,Ostracion cubicus,Actinopterygii,Tetraodontiformes,Ostraciidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลำตัวเป็นรูปทรงลูกบาศก์สีเหลืองสดใสแต้มจุดดำ ว่ายน้ำดุ๊กดิ๊กช้าๆ ปล่อยสารพิษเมื่อตกใจ
73,ปลาเสือพ่นน้ำ,Banded Archerfish,Toxotes jaculatrix,Actinopterygii,Perciformes,Toxotidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, Chiang Mai Zoo Aquarium, สวนสัตว์สงขลา",พ่นลำน้ำออกจากปากได้อย่างแม่นยำสูงถึง 1.5 เมตร เพื่อยิงแมลงให้ตกลงมาในน้ำ
74,ปลาอโรวาน่า / ปลามังกร,Asian Arowana,Scleropages formosus,Actinopterygii,Osteoglossiformes,Osteoglossidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สวนสัตว์นครราชสีมา, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ปลาน้ำจืดโบราณ เกล็ดเงางามคล้ายเกล็ดมังกร ถือเป็นปลาเสริมสิริมงคลและบารมี
75,แพนด้าแดง,Red Panda,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",สัตว์ขวัญใจนักท่องเที่ยว หางเป็นพวงลายปล้องส้มขาว
76,แพรรีด็อกหางดำ,Black-tailed Prairie Dog,Cynomys ludovicianus,Mammalia,Rodentia,Sciuridae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",กระรอกดินอเมริกา ขุดรูใต้ดิน ยืนสองขาเห่าเตือนภัยเพื่อนร่วมฝูง
77,มังกรโคโมโด,Komodo Dragon,Varanus komodoensis,Reptilia,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์ดุสิต (เดิมเคยจัดแสดง)",กิ้งก่าที่ใหญ่ที่สุดในโลกจากอินโดนีเซีย มีต่อมพิษและแบคทีเรียอันตรายในน้ำลาย
78,ม้าน้ำดำ,Black Seahorse,Hippocampus kuda,Actinopterygii,Syngnathiformes,Syngnathidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ตัวผู้มีกระเป๋าหน้าท้องทำหน้าที่อุ้มท้องและคลอดลูก หางม้วนเกี่ยวต้นหญ้าทะเล
79,ม้าลายเบอร์เชลล์,Plains Zebra,Equus quagga burchellii,Mammalia,Perissodactyla,Equidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",ม้าลายทุ่งหญ้าสะวันนาแอฟริกา ลายพาดลำตัวมีเอกลักษณ์เฉพาะตัว
80,เม่นใหญ่แผงคอยาว,Malayan Porcupine,Hystrix brachyura,Mammalia,Rodentia,Hystricidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ขนหนามแหลมคมลายขาวดำ ใช้สลัดขู่ศัตรูเมื่อตกใจ
81,เมียร์แคต,Meerkat,Suricata suricatta,Mammalia,Carnivora,Herpestidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",สัตว์แอฟริกายอดฮิต ยืนสองขาชะเง้อตรวจเวรยาม ขุดโพรงอยู่เป็นฝูง
82,แมงกะพรุนพระจันทร์,Moon Jellyfish,Aurelia aurita,Scyphozoa,Semaeostomeae,Ulmaridae,สัตว์ไม่มีกระดูกสันหลังทางทะเล,สัตว์ทะเลสากล,LC (มีความเสี่ยงต่ำ),สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน (โซนแมงกะพรุนเรืองแสง),ร่มลำตัวโปร่งใสสะท้อนแสงไฟหลากสี ดึงดูดนักท่องเที่ยวจำนวนมากในตู้จัดแสดงทรงกระบอก
83,แมวน้ำเคปเฟอร์ซีล,Cape Fur Seal,Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",สัตว์ทะเลดาวเด่นโชว์ความสามารถ ใบหูเล็ก คล่องแคล่วทั้งในน้ำและบนบก
84,ยีราฟ,Giraffe,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",สัตว์บกที่สูงที่สุดในโลก จุดให้อาหารยอดนิยมในสวนสัตว์ไทย
85,แรดขาว,White Rhinoceros,Ceratotherium simum,Mammalia,Perissodactyla,Rhinocerotidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์, เชียงใหม่ไนท์ซาฟารี",สัตว์บกขนาดใหญ่อันดับสองรองจากช้าง ปากกว้างรูปสี่เหลี่ยมสำหรับเล็มหญ้า
86,ละองละมั่งพันธุ์ไทย,Siamese Eld's Deer,Rucervus eldii siamensis,Mammalia,Artiodactyla,Cervidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สถานีเพาะเลี้ยงสัตว์ป่าห้วยขาแข้ง, สวนสัตว์นครราชสีมา",สัตว์ป่าสงวนของไทย เพาะเลี้ยงและปล่อยคืนสู่ธรรมชาติสำเร็จ
87,ลิงชิมแปนซี,Chimpanzee,Pan troglodytes,Mammalia,Primates,Hominidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",ญาติสนิททางพันธุกรรมของมนุษย์ ฉลาด เรียนรู้ภาษามือและใช้เครื่องมือได้
88,ลิงอุรังอุตัง,Orangutan,Pongo pygmaeus / Pongo abelii,Mammalia,Primates,Hominidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",วานรใหญ่ขนสีส้มแดง ฉลาด สร้างเครื่องมือ มีโชว์ชกมวยอุรังอุตังที่ซาฟารีเวิลด์
89,ลิ่นชวา / ตัวนิ่ม,Sunda Pangolin,Manis javanica,Mammalia,Pholidota,Manidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สถานีเพาะเลี้ยงสัตว์ป่าบางละมุง",เกล็ดเคราตินแข็งหุ้มตัว ขดตัวเป็นก้อนกลม ถูกลักลอบล่าจนวิกฤติ
90,ลีเมอร์หางแหวน,Ring-tailed Lemur,Lemur catta,Mammalia,Primates,Lemuridae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",ลีเมอร์มาดากัสการ์ หางยาวลายปล้องขาวดำ นั่งผึ่งแดดยามเช้า
91,เลียงผาใต้,Sumatran Serow,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",สัตว์ป่าสงวนของไทย ปีนป่ายหน้าผาหินปูนสูงชัน มีต่อมน้ำมันใต้ตา
92,โลมาปากขวด,Common Bottlenose Dolphin,Tursiops truncatus,Mammalia,Cetartiodactyla,Delphinidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า / สัตว์ทะเลสากล,LC (มีความเสี่ยงต่ำ),"โอเอซิส ซีเวิลด์ จันทบุรี, พัทยา ดอลฟินส์ เวิลด์, ซาฟารีเวิลด์",ฉลาด ขี้เล่น มีการแสดงกระโดดลอดห่วงและว่ายน้ำร่วมกับมนุษย์
93,โลมาอิรวดี,Irrawaddy Dolphin,Orcaella brevirostris,Mammalia,Cetartiodactyla,Delphinidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN / CR (ประชากรทะเลสาบสงขลา),"โอเอซิส ซีเวิลด์ จันทบุรี, ทะเลสาบสงขลา, ศูนย์วิจัยทรัพยากรทางทะเลฯ",หัวกลมมนไม่มีจะงอยปาก ประชากรในทะเลสาบสงขลาเหลือน้อยมากจนวิกฤติ
94,วัวแดง,Banteng,Bos javanicus,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",วัวป่าหายาก ลำตัวสีน้ำตาลแดง มีวงก้นขาวคล้ายกระจก โครงการเพาะขยายพันธุ์ปล่อยคืนสู่ป่าสำเร็จ
95,วิลเดอบีสต์สีน้ำเงิน,Blue Wildebeest,Connochaetes taurinus,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",สัตว์อพยพชื่อดังแห่งทุ่งหญ้าเซเรนเกตี
96,สมเสร็จมลายู,Malayan Tapir,Tapirus indicus,Mammalia,Perissodactyla,Tapiridae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",สัตว์ป่าสงวนของไทย ลำตัวขาวดำแบ่งครึ่ง ลูกแรกเกิดมีลายแตงไทย
97,สลอธสองนิ้ว,Linnaeus's Two-toed Sloth,Choloepus didactylus,Mammalia,Pilosa,Choloepodidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น, ซาฟารีเวิลด์",สัตว์เคลื่อนไหวช้าที่สุดในโลก ห้อยหัวอยู่บนกิ่งไม้เกือบตลอดชีวิต
98,สิงโตแอฟริกา,African Lion,Panthera leo,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",เจ้าป่า อยู่รวมกันเป็นฝูง มีทั้งสิงโตขนสีทองและสิงโตขาว
99,เสือโคร่งเบงกอล,Bengal Tiger,Panthera tigris tigris,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",รวมถึงเสือโคร่งขาว (White Tiger) ยอดนิยมในสวนสัตว์
100,เสือโคร่งอินโดจีน,Indochinese Tiger,Panthera tigris corbetti,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง",เสือโคร่งประจำถิ่นไทย แหล่งพันธุกรรมสำคัญที่สุดในเอเชียตะวันออกเฉียงใต้
101,เสือชีตาห์,Cheetah,Acinonyx jubatus,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์, เชียงใหม่ไนท์ซาฟารี",สัตว์บกที่วิ่งเร็วที่สุดในโลก มีคราบน้ำตาสีดำพาดจากหัวตาถึงมุมปาก
102,เสือดาว / เสือดำ,Leopard / Black Panther,Panthera pardus,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",เสือดาวและเสือดำเป็นชนิดเดียวกัน ปีนต้นไม้เก่งและลากเหยื่อขึ้นที่สูง
103,เสือลายเมฆ,Clouded Leopard,Neofelis nebulosa,Mammalia,Carnivora,Felidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",สัตว์ป่าสงวนของไทย ลายก้อนเมฆขนาดใหญ่ เขี้ยวแหลมยาวเมื่อเทียบสัดส่วนหัว
104,หมาใน,Dhole,Cuon alpinus,Mammalia,Carnivora,Canidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",หมาป่าสีแดงประจำถิ่นไทย ล่าเหยื่อเป็นฝูงอย่างมีระบบ
105,หมีขอ / บินตุรง,Binturong,Arctictis binturong,Mammalia,Carnivora,Viverridae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",หางยาวแข็งแรงยึดจับกิ่งไม้ได้ มีกลิ่นหอมเฉพาะคล้ายข้าวโพดคั่วเนย
106,หมีควาย,Asian Black Bear,Ursus thibetanus,Mammalia,Carnivora,Ursidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น",หมีใหญ่ ขนสีดำสนิท มีแถบขนสีขาวรูปตัว V ที่หน้าอก
107,หมีหมา / หมีคน,Malayan Sun Bear,Helarctos malayanus,Mammalia,Carnivora,Ursidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",หมีขนาดเล็กที่สุดในโลก ลิ้นยาวสำหรับเลียน้ำผึ้งและปลวก มีลายเกือกม้าที่อก
108,อัลปากา,Alpaca,Vicugna pacos,Mammalia,Artiodactyla,Camelidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),Domesticated (เลี้ยง),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว, อัลปาก้าฮิลล์ ราชบุรี",ขนหนานุ่มคุณภาพสูง นิสัยสุภาพเป็นมิตร ยอดนิยมในโซนสัมผัสสัตว์
109,อีกัวน่าเขียว,Green Iguana,Iguana iguana,Reptilia,Squamata,Iguanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่",กิ้งก่ากินพืชขนาดใหญ่จากอเมริกาใต้ แผงหนามบนสันหลังยาว ว่ายน้ำเก่ง
110,อูฐสองโหนก,Bactrian Camel,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),CR / Domesticated,"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",อูฐเขตหนาวแถบเอเชียกลาง ขนหนานุ่ม สองโหนกสะสมไขมัน
111,อูฐหนอกเดียว,Dromedary Camel,Camelus dromedarius,Mammalia,Artiodactyla,Camelidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),Domesticated (เลี้ยง),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, ซาฟารีเวิลด์",อูฐทะเลทรายอาหรับและแอฟริกา ทนแล้งเดินทางไกลได้หลายวัน
112,แอกโซลอตล์ / หมาน้ำ,Axolotl,Ambystoma mexicanum,Amphibia,Caudata,Ambystomatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์ในธรรมชาติ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, ม.บูรพา บางแสน",ซาลาแมนเดอร์ที่ไม่ยอมโตเต็มวัย เหงือกพู่สีชมพูภายนอก ว่ายน้ำดุ๊กดิ๊กน่ารัก
113,ฮิปโปโปเตมัส,Hippopotamus,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา, ซาฟารีเวิลด์",'แม่มะลิ' ฮิปโปโปเตมัสอายุยืนที่สุดในประเทศไทย ปัจจุบันอยู่ที่เขาเขียว
