id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
62,นกตะกราม,Greater Adjutant,Leptoptilos dubius,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สถานีเพาะเลี้ยงสัตว์ป่าบางละมุง",นกกระสาขนาดยักษ์ หัวล้าน ถุงลมใต้คอยาว หายากมากในธรรมชาติไทย
63,นกตะกรุม,Lesser Adjutant,Leptoptilos javanicus,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ขนาดเล็กกว่านกตะกราม ไม่มีถุงลมใต้คอ พบหากินตามทุ่งนาและป่าพรุ
64,นกแต้วแร้วท้องดำ,Gurney's Pitta,Hydrornis gurneyi,Passeriformes,Pittidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์อย่างยิ่ง),"สวนสัตว์สงขลา, เขตรักษาพันธุ์สัตว์ป่าเขาประ-บางคราม กระบี่",สัตว์ป่าสงวนของไทย หนึ่งในนกหายากที่สุดในโลก ตัวผู้กระหม่อมสีฟ้าสด ท้องดำ อกเหลือง
65,นกแต้วแร้วธรรมดา,Blue-winged Pitta,Pitta moluccensis,Passeriformes,Pittidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นก 7 สี หัวลายแถบดำ ปีกสีฟ้ามรกต ท้องสีส้ม ก้นสีแดงสด ร้อง 'แต้ว-แร้ว' ชัดเจน
66,นกทูแคนโทโค,Toco Toucan,Ramphastos toco,Piciformes,Ramphastidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",ทูแคนสายพันธุ์ที่ใหญ่ที่สุด ปากสีส้มเหลืองสดแต้มดำที่ปลายปาก รอบตาสีฟ้า
67,นกทูแคนอกขาว,White-throated Toucan,Ramphastos tucanus,Piciformes,Ramphastidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, เชียงใหม่ไนท์ซาฟารี",ปากยาวใหญ่สีสันสดใส แต่น้ำหนักเบาเพราะมีโครงสร้างคล้ายรังผึ้งภายใน
68,นกนางนวลธรรมดา,Brown-headed Gull,Chroicocephalus brunnicephalus,Charadriiformes,Laridae,สัตว์ปีก (นก),สัตว์อพยพฤดูหนาว,LC (มีความเสี่ยงต่ำ),"สถานตากอากาศบางปู สมุทรปราการ, สวนสัตว์เปิดเขาเขียว",นกอพยพหนีหนาวจากทิเบต บินโฉบรับกากหมูจากมือนักท่องเที่ยวริมทะเลบางปู
69,นกปากห่าง,Asian Openbill,Anastomus oscitans,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, วัดไผ่ล้อม ปทุมธานี, สวนสัตว์นครราชสีมา",จะงอยปากประกบกันไม่สนิทตรงกลาง มีช่องว่างสำหรับขบเปลือกหอยเชอรี่กิน
70,นกเป็ดน้ำแมนดาริน,Mandarin Duck,Aix galericulata,Anseriformes,Anatidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",เป็ดน้ำสีสันสวยงามที่สุดในโลก สัญลักษณ์แห่งความรักและความซื่อสัตย์
71,นกเป็ดผีเล็ก,Little Grebe,Tachybaptus ruficollis,Podicipediformes,Podicipedidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกน้ำตัวเล็กกลมป้อม ดำน้ำเก่งมาก ผุดขึ้นและดำหายไปอย่างรวดเร็ว
72,นกพริก,Bronze-winged Jacana,Metopidius indicus,Charadriiformes,Jacanidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",นิ้วเท้ายาวมาก ทำให้น้ำหนักกระจายสามารถเดินบนใบบัวและพืชลอยน้ำได้โดยไม่จม
73,นกเพนกวินเจนทู,Gentoo Penguin,Pygoscelis papua,Sphenisciformes,Spheniscidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),สวนสัตว์เชียงใหม่ (โซนเมืองหิมะ Snow Dome),เพนกวินเขตขั้วโลกใต้ ว่ายน้ำเร็วที่สุดในบรรดาเพนกวิน มีแถบขาวพาดบนหัว
74,นกเพนกวินฮัมโบลด์,Humboldt Penguin,Spheniscus humboldti,Sphenisciformes,Spheniscidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ดาวเด่นโชว์พาเหรดเพนกวินเดินเตาะแตะยอดนิยมทั้งที่เขาเขียวและเชียงใหม่
75,นกโพระดกคอสีฟ้า,Blue-throated Barbet,Psilopogon asiaticus,Piciformes,Megalaimidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",หัวสีแดง คอสีฟ้าสดใส ลำตัวสีเขียว เจาะโพรงไม้วางไข่ ร้องเสียงดังก้องป่า 'ก๊ก-ก๊ก-ก๊ก'
76,นกโพระดกหูเขียว,Green-eared Barbet,Psilopogon faiostrictus,Piciformes,Megalaimidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ขนลำตัวสีเขียว ลายแต้มสีน้ำตาลที่หัวและอก กินลูกไม้และไทรสุกเป็นอาหารหลัก
77,นกฟลามิงโกแคระ,Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ขนาดเล็กกว่าฟลามิงโกใหญ่ สีชมพูเข้มกว่า จะงอยปากสีแดงเข้มปลายดำ
78,นกฟลามิงโกใหญ่,Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกขายาวขนสีชมพู ยืนขาเดียวพักผ่อน มีกรงจัดแสดงขนาดใหญ่ในแทบทุกสวนสัตว์
79,นกฟินช์เจ็ดสี / กูลเดียนฟินช์,Gouldian Finch,Chloebia gouldiae,Passeriformes,Estrildidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว (กรงนกเล็ก), ซาฟารีเวิลด์",นกฟินช์ออสเตรเลียที่มีสีสันสดใสที่สุดในโลก ผสมผสานสีแดง เหลือง เขียว ม่วง ฟ้าในตัวเดียว
80,นกยางโทนใหญ่,Great Egret,Ardea alba,Pelecaniformes,Ardeidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, ซาฟารีเวิลด์",นกยางสีขาวล้วนขนาดใหญ่ที่สุด ปากสีเหลือง ขาสีดำ ในฤดูผสมพันธุ์จะมีขนประดับหลังยาวสยาย
81,นกยางเปีย,Little Egret,Egretta garzetta,Pelecaniformes,Ardeidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกยางขาวขนาดเล็ก ขาสีดำแต่นิ้วเท้าสีเหลืองสด ท้ายทอยมีขนเปียยาวสองเส้นในฤดูผสมพันธุ์
82,นกยูงไทย,Green Peafowl,Pavo muticus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, เขตรักษาพันธุ์สัตว์ป่าเวียงลอ",หงอนบนหัวเป็นพู่ตั้งตรง แพนหางยาวแผ่รำแพนสวยงาม หายากกว่านกยูงอินเดีย
83,นกยูงอินเดีย,Indian Peafowl,Pavo cristatus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",คอสีน้ำเงินเหลือบเงา หงอนรูปพัด เดินอิสระตามลานในสวนสัตว์เปิดเขาเขียว
84,นกเลิฟเบิร์ด,Rosy-faced Lovebird,Agapornis roseicollis,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",นกแก้วคู่รัก อยู่แนบชิดติดกันตลอดเวลา ใบหน้าสีพีชลำตัวสีเขียวสด
85,นกแสก,Barn Owl,Tyto alba,Strigiformes,Tytonidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",ใบหน้ารูปหัวใจสีขาว ช่วยดักจับหนูในสวนปาล์มและพื้นที่เกษตรได้อย่างดีเลิศ
86,นกอ้ายงั่ว / นกคองู,Oriental Darter,Anhinga melanogaster,Suliformes,Anhingidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",ดำน้ำจับปลาโดยโผล่เฉพาะส่วนคอเลื้อยคล้ายงู ปากแหลมคมแทงปลา ปีกเปียกน้ำต้องกางปีกตากแดด
87,นกอินทรีดำ,Black Eagle,Ictinaetus malaiensis,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ขนสีดำสนิท ปีกกว้างร่อนเหนือเรือนยอดไม้เพื่อล่าไข่และลูกนกในรัง
88,นกอินทรีทะเลหัวขาว,Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",นกสัญลักษณ์ประจำชาติสหรัฐอเมริกา หัวและหางขาว กรงเล็บทรงพลัง
89,นกอินทรีหัวไหล่ขาว,Eastern Imperial Eagle,Aquila heliaca,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์อพยพ / ต่างถิ่น,VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",อินทรียักษ์ หัวสีทอง มีแถบสีขาวเด่นชัดบนหัวไหล่ บินอพยพผ่านไทยในฤดูหนาว
90,นกอีมู,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกบินไม่ได้ขนาดใหญ่อันดับสองของโลกจากออสเตรเลีย นิสัยอยากรู้อยากเห็น
91,นกอีล้ำ,Common Moorhen,Gallinula chloropus,Gruiformes,Rallidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",หน้าผากและโคนปากสีแดงสด ปลายปากสีเหลือง ว่ายน้ำโยกหัวไปมาอย่างน่ารัก
92,นกอีลุ้ม,Watercock,Gallicrex cinerea,Gruiformes,Rallidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ตัวผู้ในฤดูผสมพันธุ์มีเหนียงหน้าผากสีแดงสด ขนสีเทาดำ ขี้อายหากินตามทุ่งนา
93,นกเอี้ยงสาริกา,Common Myna,Acridotheres tristis,Passeriformes,Sturnidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",รอบตาสีเหลืองสด ลำตัวสีน้ำตาลเข้ม ฉลาด เดินก้าวกระโดด เลียนเสียงพูดได้
94,นกเอี้ยงหงอน,Great Myna (White-vented Myna),Acridotheres grandis,Passeriformes,Sturnidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",บนหน้าผากมีหงอนขนสีดำตั้งชัน จะงอยปากสีเหลือง มักเกาะบนหลังควายเพื่อกินแมลง
95,เป็ดก่า,White-winged Duck,Asarcornis scutulata,Anseriformes,Anatidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์นครราชสีมา, สวนสัตว์เปิดเขาเขียว, เขตรักษาพันธุ์สัตว์ป่าภูเขียว",สัตว์ป่าสงวนของไทย เป็ดป่าขนาดใหญ่ หัวสีขาวแต้มจุดดำ ปีกมีแถบขาวเด่นชัด
96,หงส์ขาว,Mute Swan,Cygnus olor,Anseriformes,Anatidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",หงส์ยุโรปสีขาวสง่างาม โคนปากมีปุ่มเนื้อสีดำ ว่ายน้ำประดับบึงในสวนสัตว์
97,หงส์ดำ,Black Swan,Cygnus atratus,Anseriformes,Anatidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",หงส์ออสเตรเลีย ขนสีดำสนิท ขนปีกหยักงดงาม จะงอยปากสีแดงสดใส
98,เหยี่ยวแดง,Brahminy Kite,Haliastur indus,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, โอเอซิส ซีเวิลด์ จันทบุรี",หัวและอกสีขาว ลำตัวสีน้ำตาลแดง บินโฉบจับปลาตามชายฝั่งทะเลและป่าชายเลน
99,เหยี่ยวรุ้ง,Crested Serpent Eagle,Spilornis cheela,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",เหยี่ยวขนาดใหญ่ ท้ายทอยมีหงอนสั้น ใต้ปีกมีแถบขาวพาด เชี่ยวชาญการจับงูกินเป็นอาหาร
100,เหยี่ยวออสเปรย์ / เหยี่ยวเวหา,Osprey,Pandion haliaetus,Accipitriformes,Pandionidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",เชี่ยวชาญการจับปลา กรงเล็บโค้งแหลมพิเศษ สามารถบินพุ่งดิ่งลงไปจับปลาใต้ผิวน้ำได้
